NAICS_DESC,DATE,REVENUE,anonimized_name
Commercial Banking,8/30/21,22,Jason Brown INC
Commercial Banking,8/31/21,98,Jason Brown INC
Commercial Banking,9/1/21,77,Jason Brown INC
Commercial Banking,9/2/21,82,Jason Brown INC
Commercial Banking,9/3/21,76,Jason Brown INC
Commercial Banking,9/7/21,30,Jason Brown INC
Commercial Banking,9/8/21,39,Jason Brown INC
Commercial Banking,9/9/21,96,Jason Brown INC
Commercial Banking,9/10/21,130,Jason Brown INC
Commercial Banking,9/13/21,31,Jason Brown INC
Commercial Banking,9/14/21,136,Jason Brown INC
Commercial Banking,9/15/21,39,Jason Brown INC
Commercial Banking,9/16/21,39,Jason Brown INC
Commercial Banking,9/17/21,70,Jason Brown INC
Commercial Banking,9/20/21,100,Jason Brown INC
Commercial Banking,9/21/21,91,Jason Brown INC
Commercial Banking,9/22/21,244,Jason Brown INC
Commercial Banking,9/23/21,117,Jason Brown INC
Commercial Banking,9/24/21,144,Jason Brown INC
Commercial Banking,9/27/21,100,Jason Brown INC
Commercial Banking,9/28/21,54,Jason Brown INC
Commercial Banking,9/29/21,176,Jason Brown INC
Commercial Banking,9/30/21,85,Jason Brown INC
Commercial Banking,10/1/21,70,Jason Brown INC
Commercial Banking,10/4/21,99,Jason Brown INC
Commercial Banking,10/5/21,117,Jason Brown INC
Commercial Banking,10/6/21,181,Jason Brown INC
Commercial Banking,10/7/21,116,Jason Brown INC
Commercial Banking,10/8/21,71,Jason Brown INC
Commercial Banking,10/11/21,135,Jason Brown INC
Commercial Banking,10/12/21,91,Jason Brown INC
Commercial Banking,10/13/21,129,Jason Brown INC
Commercial Banking,10/14/21,105,Jason Brown INC
Commercial Banking,10/15/21,447,Jason Brown INC
Commercial Banking,10/18/21,101,Jason Brown INC
Commercial Banking,10/19/21,69,Jason Brown INC
Commercial Banking,10/20/21,85,Jason Brown INC
Commercial Banking,10/21/21,84,Jason Brown INC
Commercial Banking,10/22/21,102,Jason Brown INC
